Country,Year,Series,Value
Afghanistan,2005,Current health expenditure (% of GDP),9.9483
Afghanistan,2010,Current health expenditure (% of GDP),8.5697
Afghanistan,2015,Current health expenditure (% of GDP),10.1053
Afghanistan,2016,Current health expenditure (% of GDP),10.962
Afghanistan,2017,Current health expenditure (% of GDP),11.7772
Afghanistan,2005,Domestic general government health expenditure (% of total government expenditure),3.371
Afghanistan,2010,Domestic general government health expenditure (% of total government expenditure),2.2555
Afghanistan,2015,Domestic general government health expenditure (% of total government expenditure),2.0144
Afghanistan,2016,Domestic general government health expenditure (% of total government expenditure),2.1411
Afghanistan,2017,Domestic general government health expenditure (% of total government expenditure),2.3191
Albania,2000,Domestic general government health expenditure (% of total government expenditure),8.0485
Albania,2005,Domestic general government health expenditure (% of total government expenditure),9.2537
Albania,2010,Domestic general government health expenditure (% of total government expenditure),15.214
Albania,2015,Domestic general government health expenditure (% of total government expenditure),14.5546
Albania,2016,Domestic general government health expenditure (% of total government expenditure),15.0501
Albania,2017,Domestic general government health expenditure (% of total government expenditure),14.6789
Algeria,2000,Current health expenditure (% of GDP),3.489
Algeria,2005,Current health expenditure (% of GDP),3.2352
Algeria,2010,Current health expenditure (% of GDP),5.1172
Algeria,2015,Current health expenditure (% of GDP),6.9785
Algeria,2016,Current health expenditure (% of GDP),6.6038
Algeria,2017,Current health expenditure (% of GDP),6.3743
Algeria,2000,Domestic general government health expenditure (% of total government expenditure),8.7881
Algeria,2005,Domestic general government health expenditure (% of total government expenditure),8.2694
Algeria,2010,Domestic general government health expenditure (% of total government expenditure),9.5448
Algeria,2015,Domestic general government health expenditure (% of total government expenditure),10.7331
Algeria,2016,Domestic general government health expenditure (% of total government expenditure),10.7343
Algeria,2017,Domestic general government health expenditure (% of total government expenditure),10.7341
Andorra,2000,Current health expenditure (% of GDP),9.3481
Andorra,2005,Current health expenditure (% of GDP),8.566
Andorra,2010,Current health expenditure (% of GDP),9.4497
Andorra,2015,Current health expenditure (% of GDP),10.2527
Andorra,2016,Current health expenditure (% of GDP),10.3241
Andorra,2017,Current health expenditure (% of GDP),10.3206
Andorra,2000,Domestic general government health expenditure (% of total government expenditure),12.9924
Andorra,2005,Domestic general government health expenditure (% of total government expenditure),10.9966
Andorra,2010,Domestic general government health expenditure (% of total government expenditure),10.8924
Andorra,2015,Domestic general government health expenditure (% of total government expenditure),15.2437
Andorra,2016,Domestic general government health expenditure (% of total government expenditure),14.0176
Andorra,2017,Domestic general government health expenditure (% of total government expenditure),14.0176
Angola,2000,Current health expenditure (% of GDP),1.9086
Angola,2005,Current health expenditure (% of GDP),2.8522
Angola,2010,Current health expenditure (% of GDP),2.6951
Angola,2015,Current health expenditure (% of GDP),2.6058
Angola,2016,Current health expenditure (% of GDP),2.7131
Angola,2017,Current health expenditure (% of GDP),2.7915
Angola,2000,Domestic general government health expenditure (% of total government expenditure),2.7386
Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8206
